#DMDensity EnergyDensity Pressure SIGCHIN SIGCHI2 DMmass 
0.425 8.70742e-20 1.4451e-15 0 55 0.19734
0.426 8.74844e-20 1.45191e-15 0 55 0.19734
0.427 8.78957e-20 1.45873e-15 0 55 0.19734
0.428 8.83078e-20 1.46558e-15 0 55 0.19734
0.429 8.8721e-20 1.47243e-15 0 55 0.19734
0.43 8.91351e-20 1.4793e-15 0 55 0.19734
0.431 8.95501e-20 1.48619e-15 0 55 0.19734
0.432 8.99662e-20 1.4931e-15 0 55 0.19734
0.433 9.03831e-20 1.50002e-15 0 55 0.19734
0.434 9.08011e-20 1.50695e-15 0 55 0.19734
0.435 9.122e-20 1.51391e-15 0 55 0.19734
0.436 9.16399e-20 1.52087e-15 0 55 0.19734
0.437 9.20608e-20 1.52786e-15 0 55 0.19734
0.438 9.24826e-20 1.53486e-15 0 55 0.19734
0.439 9.29053e-20 1.54188e-15 0 55 0.19734
0.44 9.33291e-20 1.54891e-15 0 55 0.19734
0.441 9.37538e-20 1.55596e-15 0 55 0.19734
0.442 9.41795e-20 1.56302e-15 0 55 0.19734
0.443 9.46061e-20 1.5701e-15 0 55 0.19734
0.444 9.50337e-20 1.5772e-15 0 55 0.19734
0.445 9.54623e-20 1.58431e-15 0 55 0.19734
0.446 9.58918e-20 1.59144e-15 0 55 0.19734
0.447 9.63223e-20 1.59858e-15 0 55 0.19734
0.448 9.67537e-20 1.60574e-15 0 55 0.19734
0.449 9.71861e-20 1.61292e-15 0 55 0.19734
0.45 9.76195e-20 1.62011e-15 0 55 0.19734
0.451 9.80539e-20 1.62732e-15 0 55 0.19734
0.452 9.84892e-20 1.63455e-15 0 55 0.19734
0.453 9.89255e-20 1.64179e-15 0 55 0.19734
0.454 9.93627e-20 1.64904e-15 0 55 0.19734
0.455 9.98009e-20 1.65632e-15 0 55 0.19734
0.456 1.0024e-19 1.6636e-15 0 55 0.19734
0.457 1.0068e-19 1.67091e-15 0 55 0.19734
0.458 1.01121e-19 1.67823e-15 0 55 0.19734
0.459 1.01563e-19 1.68557e-15 0 55 0.19734
0.46 1.02006e-19 1.69292e-15 0 55 0.19734
0.461 1.0245e-19 1.70029e-15 0 55 0.19734
0.462 1.02895e-19 1.70767e-15 0 55 0.19734
0.463 1.03341e-19 1.71507e-15 0 55 0.19734
0.464 1.03788e-19 1.72249e-15 0 55 0.19734
0.465 1.04236e-19 1.72992e-15 0 55 0.19734
0.466 1.04685e-19 1.73737e-15 0 55 0.19734
0.467 1.05135e-19 1.74483e-15 0 55 0.19734
0.468 1.05585e-19 1.75232e-15 0 55 0.19734
0.469 1.06037e-19 1.75981e-15 0 55 0.19734
0.47 1.0649e-19 1.76732e-15 0 55 0.19734
0.471 1.06943e-19 1.77485e-15 0 55 0.19734
0.472 1.07398e-19 1.7824e-15 0 55 0.19734
0.473 1.07853e-19 1.78996e-15 0 55 0.19734
